Game,Winner,Turns,VanillaPoints,PrunedPoints,avgDepth,avgDepthPruned
0,PrunedAgent,35,50,50,6.111111111111111,8.411764705882353
1,PrunedAgent,13,19,20,7.166666666666667,10.142857142857142
2,PrunedAgent,88,70,71,5.795454545454546,7.75
3,PrunedAgent,59,66,68,6.0,8.033333333333333
4,PrunedAgent,96,55,58,5.8125,7.854166666666667
5,MinimaxAgent,78,76,71,5.871794871794871,8.205128205128204
6,PrunedAgent,76,68,76,11.0,18.57894736842105
7,PrunedAgent,81,66,74,5.9,13.024390243902438
8,PrunedAgent,26,36,39,21.46153846153846,24.0
9,PrunedAgent,57,60,68,6.214285714285714,8.448275862068966
10,PrunedAgent,32,45,47,6.3125,9.125
11,PrunedAgent,71,64,80,11.371428571428572,28.194444444444443
12,PrunedAgent,89,60,65,10.355555555555556,8.5
13,PrunedAgent,47,57,61,6.130434782608695,8.041666666666666
14,PrunedAgent,69,81,81,5.942857142857143,8.058823529411764
15,PrunedAgent,77,72,76,10.236842105263158,17.641025641025642
16,PrunedAgent,75,76,76,5.7631578947368425,8.0
17,PrunedAgent,85,50,66,10.142857142857142,12.674418604651162
18,MinimaxAgent,71,74,68,6.083333333333333,8.514285714285714
19,PrunedAgent,63,61,73,6.032258064516129,8.34375
20,PrunedAgent,74,76,82,9.0,13.35135135135135
21,PrunedAgent,67,60,71,5.878787878787879,8.088235294117647
22,MinimaxAgent,81,75,72,5.780487804878049,8.05
23,MinimaxAgent,72,80,80,5.972222222222222,8.277777777777779
24,MinimaxAgent,75,77,72,11.18421052631579,17.27027027027027
25,MinimaxAgent,78,77,73,5.794871794871795,8.051282051282051
26,PrunedAgent,89,64,67,10.177777777777777,8.090909090909092
27,PrunedAgent,75,78,81,10.756756756756756,13.052631578947368
28,PrunedAgent,64,68,84,11.8125,14.5625
29,PrunedAgent,23,28,30,6.636363636363637,9.166666666666666
30,PrunedAgent,65,72,72,5.9393939393939394,8.25
31,PrunedAgent,65,70,75,6.0625,8.242424242424242
32,PrunedAgent,76,75,77,5.947368421052632,8.105263157894736
33,PrunedAgent,75,67,78,11.08108108108108,21.94736842105263
34,PrunedAgent,45,55,55,6.391304347826087,9.272727272727273
35,PrunedAgent,87,70,71,6.0,8.045454545454545
36,PrunedAgent,70,63,75,6.0,13.771428571428572
37,MinimaxAgent,68,81,71,12.117647058823529,14.147058823529411
38,PrunedAgent,74,71,81,10.864864864864865,18.62162162162162
39,PrunedAgent,73,74,75,5.777777777777778,7.891891891891892
40,PrunedAgent,79,78,78,5.875,8.025641025641026
41,MinimaxAgent,74,78,78,5.945945945945946,8.0
42,PrunedAgent,110,0,5,11.254545454545454,37.163636363636364
43,PrunedAgent,81,70,74,10.475,12.78048780487805
44,PrunedAgent,56,67,70,6.071428571428571,8.642857142857142
45,PrunedAgent,86,71,73,10.511627906976743,8.162790697674419
46,PrunedAgent,87,69,72,10.522727272727273,8.55813953488372
47,PrunedAgent,92,73,75,10.08695652173913,7.739130434782608
48,MinimaxAgent,83,69,66,5.880952380952381,7.926829268292683
49,MinimaxAgent,74,80,80,5.864864864864865,8.18918918918919
50,PrunedAgent,50,58,62,6.28,8.52
51,PrunedAgent,103,58,59,5.764705882352941,7.788461538461538
52,PrunedAgent,99,64,67,9.06,7.489795918367347
53,PrunedAgent,79,78,79,5.923076923076923,7.95
54,PrunedAgent,23,32,32,6.75,9.454545454545455
55,MinimaxAgent,78,74,70,11.153846153846153,13.102564102564102
56,MinimaxAgent,75,81,74,11.052631578947368,17.64864864864865
57,PrunedAgent,73,68,81,11.055555555555555,13.35135135135135
58,PrunedAgent,66,75,78,5.96969696969697,8.181818181818182
59,PrunedAgent,80,70,75,10.825,8.1
60,PrunedAgent,88,78,79,5.7272727272727275,7.75
61,MinimaxAgent,28,41,41,20.785714285714285,23.0
62,PrunedAgent,77,72,72,5.82051282051282,7.973684210526316
63,PrunedAgent,77,64,74,6.052631578947368,13.512820512820513
64,MinimaxAgent,81,71,68,6.048780487804878,8.775
65,PrunedAgent,69,65,81,11.029411764705882,19.142857142857142
66,PrunedAgent,84,67,71,5.904761904761905,8.047619047619047
67,PrunedAgent,86,76,78,10.418604651162791,7.930232558139535
68,MinimaxAgent,86,70,66,5.8604651162790695,12.372093023255815
69,PrunedAgent,103,25,30,6.568627450980392,9.0
70,MinimaxAgent,75,74,65,11.394736842105264,14.108108108108109
71,PrunedAgent,63,67,87,12.096774193548388,20.40625
72,MinimaxAgent,73,78,72,11.27027027027027,13.5
73,MinimaxAgent,77,76,71,5.921052631578948,13.128205128205128
74,PrunedAgent,27,36,36,6.571428571428571,9.153846153846153
75,PrunedAgent,59,67,70,5.758620689655173,8.2
76,PrunedAgent,80,70,77,10.475,13.075
77,PrunedAgent,79,69,77,8.76923076923077,17.05
78,PrunedAgent,78,77,78,5.82051282051282,8.051282051282051
79,PrunedAgent,61,66,75,6.1,8.290322580645162
80,PrunedAgent,56,61,65,6.107142857142857,8.571428571428571
81,MinimaxAgent,66,75,75,6.181818181818182,8.303030303030303
82,PrunedAgent,76,69,77,10.342105263157896,13.552631578947368
83,PrunedAgent,41,48,52,6.25,8.523809523809524
84,PrunedAgent,89,65,68,10.155555555555555,7.863636363636363
85,PrunedAgent,25,29,31,6.416666666666667,9.076923076923077
86,PrunedAgent,78,54,69,6.051282051282051,13.58974358974359
87,PrunedAgent,81,73,77,10.525,12.902439024390244
88,PrunedAgent,80,64,72,5.8,12.75
89,PrunedAgent,65,63,81,12.125,14.393939393939394
90,PrunedAgent,68,68,82,11.088235294117647,19.558823529411764
91,PrunedAgent,63,70,86,6.032258064516129,14.5
92,PrunedAgent,78,66,68,5.743589743589744,7.948717948717949
93,PrunedAgent,57,66,69,6.035714285714286,8.310344827586206
94,MinimaxAgent,75,78,69,6.0,8.35135135135135
95,PrunedAgent,87,69,70,5.767441860465116,8.068181818181818
96,PrunedAgent,68,65,80,11.470588235294118,14.0
97,PrunedAgent,61,65,71,6.033333333333333,8.419354838709678
98,PrunedAgent,75,79,83,11.026315789473685,8.18918918918919
99,PrunedAgent,77,66,78,10.421052631578947,13.23076923076923
